Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,
641967346001813504,"RT @PepsiCo : .@PepsiSpire lets you mix it up w/ over 1,000 beverage options. #CustomCreation #PepsiCo50 http://t.co/wz0GMqjFgt http://t.co/05abX600Uh",Pepsi Spire,pepsispire,2015-09-10T13:31:57.000Z,Thu Sep 10 13:31:57 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,http://www.PepsiCo50th.com ,2,1,photo,https://pbs.twimg.com/media/COfkwArXAAQBSTb.jpg,
639784326360604672,RT @youngsdairy : New at Young's - Pepsi® Spire machines!  What tasty beverage can you create? http://t.co/9cLivYRJgK,Pepsi Spire,pepsispire,2015-09-04T12:57:24.000Z,Fri Sep 04 12:57:24 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,http://ow.ly/i/cLebl ,0,0,,,
634752204109389824,"RT @PSBehrend : New at Bruno's: An @pepsispire machine, where you can add up to three flavor shots to any fountain drink. http://t.co/lunwUoi21u",Pepsi Spire,pepsispire,2015-08-21T15:41:33.000Z,Fri Aug 21 15:41:33 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,,0,1,photo,https://pbs.twimg.com/media/CM8XYVGUwAAcwqL.jpg,
634735645865451520,RT @benschilibowl : Ben's Chili Bowl's @Reagan_Airport location is the ONLY restaurant in the DMV to have a @pepsispire machine! http://t.co/trhoP3WhhW,Pepsi Spire,pepsispire,2015-08-21T14:35:45.000Z,Fri Aug 21 14:35:45 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,,0,2,photo,https://pbs.twimg.com/media/CM3L7pWWsAAsMfI.jpg,
628252337409232897,@JohnnySpieg5 Check out http://t.co/j454WS4vze for all current locations. New locations are being added all the time! Stay tuned!,Pepsi Spire,pepsispire,2015-08-03T17:13:24.000Z,Mon Aug 03 17:13:24 +0000 2015,1,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,http://pepsispire.com/#finder ,0,1,,,
626014293918662656,"RT @pepsi : Come for the farm-to-table 🍕, stay for the Pepsi! Head to Cultura Pizza e Vita to mix it up with @PepsiSpire! http://t.co/TJTFfuyLE5",Pepsi Spire,pepsispire,2015-07-28T13:00:13.000Z,Tue Jul 28 13:00:13 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,,0,1,photo,https://pbs.twimg.com/media/CLALkhpUMAEdxXo.jpg,
616212678210531329,@charlie_carter2 @pepsi Glad you like it! But only for businesses at this time.,Pepsi Spire,pepsispire,2015-07-01T11:52:05.000Z,Wed Jul 01 11:52:05 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,0,2,,,
611941565502599168,RT @Arbys : Create your own custom soda with @PepsiSpire! Available at select Arby's locations in Minneapolis. http://t.co/V0sJ21t7tK,Pepsi Spire,pepsispire,2015-06-19T17:00:13.000Z,Fri Jun 19 17:00:13 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,,0,1,photo,https://pbs.twimg.com/media/CH4HDkwWoAAfYjF.jpg,
610450253892964352,RT @IngwerFuchs : @pepsispire awesome Pepsi Spire 2 units in KFC Reading! http://t.co/0ITtw4FQT5,Pepsi Spire,pepsispire,2015-06-15T14:14:16.000Z,Mon Jun 15 14:14:16 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,,0,1,photo,https://pbs.twimg.com/media/CHivC5kXAAEtJDM.jpg,
601371323693199360,RT @PizzaPieCafe1 : New Clinton #Utah #Pizza Pie Cafe Add Your Favorite Flavor Shot w Pepsi's Spire Machine Only At The Clinton Location! http://t.co/UIzmA7N5jq,Pepsi Spire,pepsispire,2015-05-21T12:57:51.000Z,Thu May 21 12:57:51 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,,2,0,photo,https://pbs.twimg.com/media/CFc3fyBWgAAuO3D.jpg,https://pbs.twimg.com/media/CFc3fyAWIAAF4-U.jpg
600637829891235840,RT @BamBamsBBQ : Here are the brand new @pepsi Spire 5.0's installed and mixing!! The drinks are SO much tastier and the machines... http://t.co/J7nxJHAptC,Pepsi Spire,pepsispire,2015-05-19T12:23:12.000Z,Tue May 19 12:23:12 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,http://fb.me/1AX6KeSCL ,0,1,,,
600435368773734400,@Clawzskunk Wouldn't that be awesome?! But #pepsispire is designed only for commercial use at this time.,Pepsi Spire,pepsispire,2015-05-18T22:58:42.000Z,Mon May 18 22:58:42 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,1,1,,,
597876103693344768,RT @ALThrills : AWESOME new Pepsi Spire souvenir cup refill station at @Hersheypark! http://t.co/XtMl2IO0hn,Pepsi Spire,pepsispire,2015-05-11T21:29:05.000Z,Mon May 11 21:29:05 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,,0,1,photo,https://pbs.twimg.com/media/CEkuNznWMAAefmS.jpg,
594126693868163072,@HRAthletics Thanks for your interest! Is your business a current PepsiCo customer?,Pepsi Spire,pepsispire,2015-05-01T13:10:16.000Z,Fri May 01 13:10:16 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,0,1,,,
594125199987056640,RT @dawnbythesea : Pepsi Spire rocks #MarcusTheatres Sun Prairie #pepsispire #pepsi #spirerocks http://t.co/yVvR77dlT6,Pepsi Spire,pepsispire,2015-05-01T13:04:20.000Z,Fri May 01 13:04:20 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,,4,0,photo,https://pbs.twimg.com/media/CDzF8NfWYAEE1Vy.jpg,
592735326768111618,Check out the first #pepsispire in #NYC @Cultura_PizzaNy !,Pepsi Spire,pepsispire,2015-04-27T17:01:29.000Z,Mon Apr 27 17:01:29 +0000 2015,2,1,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,2,0,,,
590886097703538688,RT @NedalaAhmad : Very cool animations on the new pepsi Spire machine https://t.co/SJgQGYnEUN,Pepsi Spire,pepsispire,2015-04-22T14:33:18.000Z,Wed Apr 22 14:33:18 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,https://instagram.com/p/1jc9TZJNwE/ ,0,0,,,
585058138304421888,@Kushpatel35 It would be great to experience #pepsispire all the time wouldn't it?? #pepsispire is designed for commercial use.,Pepsi Spire,pepsispire,2015-04-06T12:35:04.000Z,Mon Apr 06 12:35:04 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Reply,,2,1,,,
585057200189657090,@kylepigman @DrinkCheerwine Coming soon!,Pepsi Spire,pepsispire,2015-04-06T12:31:21.000Z,Mon Apr 06 12:31:21 +0000 2015,1,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Tweet,,0,1,,,
580872502273925120,RT @CentralFLTop5 : Sampling the new &amp; improved Orbit Café menu @ExploreSpaceKSC. They have @pepsispire! #AlwaysExploring… https://t.co/CaPsIsub94,Pepsi Spire,pepsispire,2015-03-25T23:22:51.000Z,Wed Mar 25 23:22:51 +0000 2015,0,0,en,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Retweet,https://instagram.com/p/0qNmMGLKFg/ ,1,2,,,
